Question,Context
Sitges,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Animat Gertie Award,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Japanese,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Piece Film,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Strong,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Work,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Progress,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Chun Zhang,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Xuan Liang,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Chinese,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
South,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Africa,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Bushveld,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Leconte,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Suicide Shop,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
MIFA,Attendance at MIFA  which runs June 911  will be the best ever  and has doubled in a halfdecade  said Marin 
Marin,Attendance at MIFA  which runs June 911  will be the best ever  and has doubled in a halfdecade  said Marin 
Current,Current accredited participants are up 10  vs 2009 to 1850 just prior fest  exhibiting companies have risen more than10  to 450  up from 200 in 2005 
Marin,Some 200 international buyers both TV acquisition execs and foreign distributors have registered to date  up from 80 in 2004  Marin said 
Annecy,Annecy s Chinese Pavilion  hosting 30 companies  will be the biggest booth ever at MIFA 
